Nº,Building,Location,Address,Telephone,Contacts,Year of construction,Lease  cost (R$/m².month),Azimuth angle of long axis of building,Solar orientation (long axis),Shape,Ratio between width and length,Total floor area (m²),Office unit area (m²),Number of floors,Exterior wall color,Exterior wall absorptance,Roof color,Glazing type,Exterior solar shading devices,Room depth (m),Ceiling height (m),Plenum height (m),Spandrel height (m),Exterior wall,WWR (%),Exterior solar shading devices dimension,Natural ventilation strategy (cross or single sided),Window frame type,Window opening effective area (%),Window geometry (length x height) (m) ,Start height of opening (m),Control system,System type,Location
89,Edifício Tupi Business Center,Santa Cecília,"Rua Tupi, 267",,,1995,34,26,NW-SE,Rectangular,0.7,136,34,11,Orange ,0.7,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
90,Emilio Huespe,Vila Mariana,"Rua Tenente Gomes Ribeiro, 78",,,1997,45,0,E-W,Rectangular,0.8,164,41,12,White/ Blue,0.2/ 0.7,Gray,Clear glass,No,,,,,,,,single sided,Top hung,,,,,?,
91,Empresarial Lapa,Lapa,"Rua Afonso Sardinha, 95",,,2006,41,85,N-S,Rectangular,0.4,128,32,14,White/ Red,0.2/ 0.7,Gray,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
92,Espaço Nobre,Moema,"Av. Moema, 265",,,1996,52,48,NE-SW,Rectangular,0.7,208,52,15,White/ Blue,0.2/ 0.7,Gray,Laminated glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
93,Fernandes Viêira - 318,Belém,"Rua Fernandes Vieira, 318",,,1998,60,19,NE-SW,Rectangular,0.2,360,30,5,White/ Green,0.2/ 0.7,Gray/ Green,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
94,First Class Building,Moema,"Rua Afonso Bráz, 473",,,2000,92,83,N-S,Rectangular,0.5,228,38,17,White,0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
95,First Soho,Santana,"Rua Henrique Bernardelli, 136",,,1998,25,8,E-W,Rectangular,0.6,160,40,8,Beige,0.4,Gray/ White,Laminated glass,No,,,,,,,,,Sliding/ Top hung,,,,,Split/ Self contained window unit,
96,G9 Offices,Vila Mariana,"Rua Dr. Diogo de Faria, 775",,,2012,47,84,N-S,Rectangular,0.3,234,59,12,Beige,0.4,Gray,Laminated glass,Balcony,,,,,,,,single sided without balcony cross with balcony (adjacent facades),Sliding/ Top hung,,,,,Split/ Self contained window unit,
97,G9 Offices III,Vila Mariana,"Rua Borges Lagoa, 1083",,,2015,60,88,N-S,Rectangular,0.4,192,49,13,Beige,0.4,White,Clear glass,Balcony,,,,,,,,single sided without balcony cross with balcony (adjacent facades),Sliding/ Top hung,,,,,?,
98,Gattás E. Erminda Cury,Vila Mariana,"Rua Leôncio de Carvalho, 234",,,1998,-,141,NW-SE,T,0.4,240,60,13,Brown,0.7,Beige,Laminated glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,?,
99,George Corbisier,Jabaquara,"Av. Pedro Severino Junior, 366",,,2001,40,36,NE-SW,Rectangular,0.6,225,32,17,White/ Blue,0.2/ 0.7,Gray/ White,Clear glass,Balcony (part),,,,,,,,single sided,Sliding/ Top hung,,,,,Split/ Self contained window unit,
100,Guaicurus 375,Lapa,"Rua Guaicurus, 375",,,2003,-,88,N-S,Rectangular,0.5,175,35,4,White,0.2,White/ Brown,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
101,Houston Office Center,Saúde,"Av. Fagundes Filho, 191",,,2002,57,85,N-S,Rectangular,0.6,240,30,15,Red/ White,0.7/ 0.2,Gray/ White,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
102,i9 Tolle,Santana,"Rua Augusto Tolle, 771",,,2015,50,85,N-S,L,0.8,540,36,3,White,0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
103,Ibirapuera Office Center,Moema,"Av. Iraí, 143",,,1998,32,48,NE-SW,Rectangular,0.8,184,46,12,Red/ White,0.7/ 0.2,Gray,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
104,In Offices Santana,Santana,"Avenida General Ataliba Leonel, 1223",,,2015,43,111,NW-SE,Rectangular,0.3,235,47,12,White/ Beige,0.2/ 0.4,Gray,Laminated glass,Balcony,,,,,,,,,Sliding/ Top hung,,,,,?,
105,Itaim Tower - Santa Justina,Itaim Bibi,"Rua Santa Justina, 352",,,1997,38,75,NW-SE,T,0.4,246,41,13,Gray/ Blue tiles,0.7,Gray,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
106,James Watt,Itaim Bibi,"Rua James Watt, 84",,,2001,41,17,E-W,Rectangular,0.9,170,50,13,White/ Chumbo,0.2/ 0.8,Gray/ White,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
107,Jurupis Office Building,Moema,"Al. dos Jurupis, 657",,,1999,56,132,NE-SW,Rectangular,0.5,160,40,10,White,0.2,Gray/ Laranja,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
108,Leonidas Garcia Rosa,República,"Praça da República, 282",,,1995,-,47,NW-SE,Rectangular,0.4,255,42,7,Beige,0.4,Gray,Laminated glass,No,,,,,,,,,Sliding,,,,,Split/ Self contained window unit,
109,Les Ateliers,Vila Mariana,"Rua Manoel da Nóbrega, 595",,,1997,54,39,NW-SE,Rectangular,0.7,148,37,12,Beige,0.4,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,?,
110,Loefgreen Business Station,Vila Mariana,"Rua Loefgreen, 1304",,,2012,44,90,N-S,Rectangular,0.7,184,46,12,exposed concrete,0.7,Gray/ White,Laminated glass,No,,,,,,,,single sided,Top hung,,,,,split,
111,Los Angeles,Santo Amaro,"Rua Américo Brasiliense, 1479",,,2004,25,59,NE-SW,T,0.5,160,40,12,Beige/ Brown,0.4/ 0.7,Gray,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
112,Lyon,Consolação,"Rua Bela Cintra, 756",,,2000,69,43,NW-SE,Rectangular,0.1,160,80,12,White,0.2,Green,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
113,L´ufficio Firenzo,Santa Cecília,"Al. Barros, 275",,,2001,46,76,NE-SW,Rectangular,0.7,105,35,12,White,0.2,Beige,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
114,M. S. Paes de Barros,Mooca,"Avenida Paes de Barros, 960",,,2000,-,142,NE-SW,Rectangular,0.3,240,30,3,Gray/ White,0.7/ 0.2,Beige,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
115,Mantovani Tower,Santa Cecília,"Rua Albuquerque Lins, 635",,,2000,38,162,NW-SE,Rectangular,0.4,208,52,12,Beige/ Gray,0.4/ 0.7,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
116,Marcella,Santana,"Rua Augusto Tole, 787",,,1997,-,88,N-S,Rectangular,0.7,396,50,4,Beige,0.4,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
117,Marquês De Itu Offices,Consolação,"Rua Marquês de Itu, 408",,,1999,24,91,N-S,Rectangular,0.6,222,36,10,Gray,0.7,Blue,Laminated glass,No,,,,,,,,single sided,Top hung,,,,,Split/ Self contained window unit,
118,Memorial Center,Barra Funda,"Rua Joaquim M. de Macedo, 101",,,2006,34,13,E-W,Rectangular,0.4,132,33,9,Beige/ Brown,0.4/ 0.7,Gray,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,?,
119,Memphis Office,Itaim Bibi,"Rua Gomes de Carvalho, 1266",,,1999,63,27,NW-SE,Rectangular,0.4,240,30,12,Red/ Preto,0.7/ 1,Brown,Laminated glass,No,,,,,,,,single sided,Top hung,,,,,Split/ Self contained window unit,
120,Metrópole,Tatuapé,"Rua Cel. Luís Americano, 352",,,1998,44,103,NW-SE,Rectangular,0.4,128,32,9,Gray,0.7,Gray,Laminated glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,?,
121,Metropolitan Offices Ipiranga - Torre Norte,Ipiranga,"Rua Bom Pastor, 2732",,,2013,34,27,NE-SW,Rectangular,0.3,310,44,8,White,0.2,White,Laminated glass,Balcony,,,,,,,,single sided,Top hung,,,,,?,
122,Metropolitan Offices Ipiranga - Torre Sul,Ipiranga,"Rua Bom Pastor, 2732",,,2013,46,27,NE-SW,Rectangular,0.3,310,44,8,White,0.2,White,Laminated glass,Balcony,,,,,,,,single sided,Top hung,,,,,?,
123,Milano Offices,Perdizes,"Rua Apiacás, 756",,,2015,67,142,NW-SE,Rectangular,0.3,150,30,10,White,0.2,White,Laminated glass,Balcony,,,,,,,,cross (adjacent facades),Sliding/ Top hung,,,,,Split/ Self contained window unit,
124,Mobile 323 - Bloco A,Alto de Pinheiros,"Rua Pereira Leite, 323",,,2013,77,30,NW-SE,Rectangular,0.2,226,86,3,White/ Laranja/ Chumbo,0.2/ 0.7,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
125,Mobile 323 - Bloco B,Alto de Pinheiros,"Rua Pereira Leite, 323",,,2013,35,30,NW-SE,Rectangular,0.4,317,94,3,White/ Laranja/ Chumbo,0.2/ 0.7,White,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
126,Morumbi - Guilherme D Villares,Vila Sônia,"Av. Dr. Guilherme D. Villares, 839",,,1999,-,138,NE-SW,Rectangular,0.5,110,55,6,exposed concrete,0.7,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
127,New Century Office,Itaim Bibi,"Rua Pequetita, 179",,,1999,-,73,NW-SE,Rectangular,0.4,210,35,12,White,0.2,Brown,Laminated glass,No,,,,,,,,single sided,Top hung,,,,,?,
128,Office Design Santana,Santana,"Al. Afonso Schmidt, 119",,,2015,27,23,NE-SW,L,0.8,240,34,17,White/ Brown,0.2/ 0.7,White,Clear glass,Balcony,,,,,,,,single sided,Sliding,,,,,Split/ Self contained window unit,
129,Platinum Building Berrini,Itaim Bibi,"Rua Arizona, 1422",,,2012,60,62,NW-SE,Rectangular,0.9,216,36,18,White,0.2,Gray,Laminated glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
130,Plaza Baronesa De Itu,Santa Cecília,"Rua Baronesa de Itu, 610",,,1998,-,105,NE-SW,Rectangular,0.3,120,40,12,Beige,0.4,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
131,Plaza Pinheiros,Pinheiros,"Rua Artur de Azevedo, 1857",,,1996,44,33,NE-SW,Rectangular,0.6,170,34,12,White,0.2,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
132,River Point Office,Barra Funda,"Rua Quirino dos Santos, 271",,,2000,50,99,N-S,Rectangular,0.6,180,30,10,Beige,0.4,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
133,Sabel Trade Center,Santana,"Rua Ezequiel Freire, 35",,,1997,29,178,E-W,Rectangular,0.2,212,53,12,White/ Red,0.2/ 0.7,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,?,
134,Saint Louis Business Center,Barra Funda,"Rua Traipu, 114",,,2000,67,26,NW-SE,T,0.7,160,40,11,Light beige,0.3,Beige,Laminated glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
135,Salute,Vila Sônia,"Av. Dr. Guilherme D. Villares, 1050",,,1998,22/ 36,146,NE-SW,-,-,450,50,3,Brown,0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
136,San Remo Tower,Lapa,"Rua Clélia, 1251",,,2001,-,90,N-S,Rectangular,0.2,136,34,12,White,0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
137,São Luiz,Itaim Bibi,"Rua Dr. Alceu de Campos Rodrigues, 301",,,1995,48,75,NW-SE,Rectangular,0.3,66,33,9,White/ Blue,0.2/ 0.7,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
138,Seattle Office Center,Jabaquara,"Av. Dr. Hugo Beolchi, 445",,,2011,-,80,NW-SE,Rectangular,0.4,246,73,13,White/ Red,0.2/ 0.7,Gray,Laminated glass,No,,,,,,,,single sided,Top hung,,,,,?,
139,Spazio Doro,Itaim Bibi,"Rua Manoel Guedes X Rua Tabapuã, 888",,,2002,83,75,NW-SE,Rectangular,0.4,232,29,15,White,0.2,Gray,Laminated glass,No,,,,,,,,single sided,Top hung,,,,,?,
140,Suraya,Vila Mariana,"Rua Doutor Eduardo Amaro, 152",,,1998,54,3,E-W,T,0.7,176,44,13,White/ Blue,0.2/ 0.7,Gray,Clear glass,No,,,,,,,,single sided,Top hung,,,,,?,
141,Teno Office Tower,Mooca,"Rua Paes de Barros, 373",,,2010,51,15,NE-SW,Rectangular,0.5,214,36,7,Laranja/ Red,0.7,Gray,Clear glass,Balcony,,,,,,,,cross (adjacent facades),Sliding/ Top hung,,,,,Split/ Self contained window unit,
142,The Landmark,Itaim Bibi,"Rua Com. Miguel Calfat, 59",,,1999,80,72,NW-SE,Rectangular,0.5,150,50,11,White,0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
143,The Metropolitan,Santa Cecília,"Rua Emilio de Menezes, 76",,,2001,70,111,NE-SW,Rectangular,0.5,176,44,13,Light beige,0.3,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,?,
144,Toronto - Angélica,Consolação,"Av. Angélica, 2118",,,1997,65,26,NW-SE,T,0.7,200,50,12,White,0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
145,Trade Center Ipiranga,Ipiranga,"Leais Paulistanos, 394",,,1996,30,85,N-S,Rectangular,0.6,240,40,6,Brown/ White,0.7/ 0.2,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
146,Trade Tower,Itaim Bibi,"Rua Tabapuã, 111",,,1997,50,105,NW-SE,Rectangular,0.7,134,67,13,White/ Red,0.2/ 0.7,Beige,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,?,
147,Tuiuti Trade Center,Tatuapé,"Rua Tuiuti, 2009",,,1997,35,100,N-S,Rectangular,0.9,128,32,12,Beige,0.4,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
148,Ufficio 2000,Itaim Bibi,"Rua do Rócio, 288",,,2000,70,105,NW-SE,T,0.5,240,40,12,Ceramic,0.8,Gray,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,?,
149,Via Roma,Mooca,"Rua Celso de Azevedo Marques, 395",,,2006,43,108,NE-SW,L,0.5,192,32,11,Dark yellow,0.4,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
150,Vip Trade Center,Vila Prudente,"Rua Orfanato, 760",,,1996,24,64,NW-SE,Rectangular,1,248,62,15,White/ Green,0.2/ 0.7,Gray/ Green,Clear glass,No,,,,,,,,single sided,Top hung,,,,,?,
151,W.305,Pinheiros,"Rua Wisard, 305",,,2011,3,33,NE-SW,L,0.7,528,88,4,White,0.2,Beige,Clear glass,Balcony,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
152,West Center,Barra Funda,"Av. Francisco Matarazzo, 175",,,1995,-,62,NE-SW,Rectangular,0.3,80,80,12,White/ Blue,0.2/ 0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
153,West Tower,Barra Funda,"Rua Dr. Candido Espinheira, 350",,,1995,55,113,NE-SW,Rectangular,0.2,110,55,13,Gray,0.7,Gray,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,?,
